p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.955170664749429,0.613,0.176,0,0,CD4
0,1.0536250381578234,0.825,0.438,0,0,SPOCK2
0,1.2313248861476178,0.638,0.273,0,0,IL7R
0,1.423461313082733,0.552,0.206,0,0,CD28
0,1.644651190302826,0.517,0.185,0,0,ICOS
0,0.9941386187443993,0.741,0.412,0,0,PBXIP1
0,2.058085765751499,0.43,0.109,0,0,TNFRSF18
0,1.6700205111314834,0.446,0.127,0,0,TNFRSF25
0,1.3351035289059516,0.545,0.238,0,0,TMEM173
0,1.2274945961364196,0.524,0.218,0,0,LTB
0,1.742704482294929,0.436,0.145,0,0,ZC3H12D
0,2.9394745845638655,0.339,0.049,0,0,TNFRSF4
0,1.0300240815966903,0.554,0.269,0,0,CD5
0,1.3641039512485211,0.461,0.18,0,0,MAF
0,4.177603941311921,0.293,0.016,0,0,FOXP3
0,1.2166751490409367,0.464,0.214,0,0,BATF
0,0.769669209821042,0.703,0.455,0,0,ARID5B
0,1.0068209431555923,0.466,0.223,0,0,RORA
0,0.4750451750800846,0.81,0.572,0,0,CD2
0,1.0210517929707563,0.492,0.259,0,0,CTLA4
0,0.4094391868629952,0.902,0.671,0,0,TRAC
0,2.32092759792712,0.288,0.059,0,0,FAAH2
0,2.668875806700274,0.265,0.038,0,0,CCR4
0,0.6045548289085296,0.647,0.424,0,0,ITK
0,1.5919424870910772,0.317,0.096,0,0,ESPN
0,0.5356140144972805,0.95,0.738,0,0,TNFAIP3
0,0.5313783636175438,0.752,0.551,0,0,BIRC3
0,0.3056078192353371,0.981,0.781,0,0,TRBC2
0,0.515609182038828,0.782,0.585,0,0,SLC2A3
0,0.6188797378063591,0.646,0.449,0,0,CREM
0,1.3604969104772642,0.345,0.15,0,0,TBC1D4
0,1.4060708895374212,0.322,0.129,0,0,TIAM1
0,0.6316408314852353,0.532,0.339,0,0,LAT
0,1.0677838887272468,0.408,0.217,0,0,LMNA
0,0.5807486051083794,0.585,0.395,0,0,DGKA
0,0.6439916876229093,0.589,0.401,0,0,PER1
0,1.6730232300789092,0.27,0.083,0,0,LEF1
0,0.5540003788117072,0.597,0.411,0,0,PIK3IP1
0,0.3472649692726706,0.832,0.647,0,0,IL32
0,0.6125661710355143,0.528,0.344,0,0,ADAM19
0,0.8417917848165106,0.446,0.262,0,0,RHBDD2
0,0.9846676909035665,0.356,0.173,0,0,TNIK
0,1.1145624279592456,0.352,0.171,0,0,RCAN3
0,0.4321957746423355,0.817,0.637,0,0,PIM2
0,1.3794398735636173,0.332,0.153,0,0,GK
0,0.45859990864013245,0.628,0.449,0,0,STAT4
0,0.5397441334701967,0.647,0.468,0,0,RP11-138A9.2
0,0.4775866700309983,0.778,0.6,0,0,NFKBIA
0,0.563532492668625,0.528,0.352,0,0,CD6
0,0.4459374081337719,0.664,0.489,0,0,FAM46C
