cell_type_analysis,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH
pDC / dendritic-like,9,10,0.005934718100890208,0.017608359133126934,-0.011673641032236726,0.011989570760406076,0.11989570760406076
B cell,9,10,0.09363295880149813,0.013997344994533811,0.07963561380696432,0.030195077771679044,0.15097538885839523
Myeloid / macrophage,9,10,0.008875739644970414,0.1020704334365325,-0.09319469379156209,0.059263521416640375,0.16548144930548347
Cycling exhausted/tumor-reactive CD8 T,9,10,0.04154302670623145,0.1693214193214193,-0.12777839261518786,0.06619257972219339,0.16548144930548347
Treg-like CD4 T,9,10,0.03003003003003003,0.06788396788396789,-0.037853937853937855,0.09416637543787987,0.18833275087575974
Conventional / memory-like CD4 T,9,10,0.2096069868995633,0.07883288702179128,0.13077409987777203,0.1530418841588201,0.2550698069313669
gamma-delta / NK-like cytotoxic T,9,10,0.04294478527607362,0.07955152662810647,-0.036606741352032846,0.23644471557230373,0.2955558944653797
TCF7+ memory-like CD8 T,9,10,0.06134969325153374,0.033175973383688516,0.028173719867845226,0.2364447155723038,0.2955558944653797
GZMK+ activated/transitional CD8 T,9,10,0.147239263803681,0.15796666410925272,-0.010727400305571733,0.48766835345893056,0.5418537260654784
Plasma cell,9,10,0,0.005008175376975716,-0.005008175376975716,0.9655743647597812,0.9655743647597812
