cell_type_analysis,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH,ratio_R_over_NR,ratio_NR_over_R
pDC / dendritic-like,9,10,0.005934718100890208,0.017608359133126934,-0.011673641032236726,0.011989570760406076,0.11989570760406076,0.33703981478462197,2.967008513931888
B cell,9,10,0.09363295880149813,0.013997344994533811,0.07963561380696432,0.030195077771679044,0.15097538885839523,6.68933707342809,0.1494916445416211
Myeloid / macrophage,9,10,0.008875739644970414,0.1020704334365325,-0.09319469379156209,0.059263521416640375,0.16548144930548347,0.08695700945062958,11.499935500515996
Cycling exhausted/tumor-reactive CD8 T,9,10,0.04154302670623145,0.1693214193214193,-0.12777839261518786,0.06619257972219339,0.16548144930548347,0.24535009730441246,4.0758084508084504
Treg-like CD4 T,9,10,0.03003003003003003,0.06788396788396789,-0.037853937853937855,0.09416637543787987,0.18833275087575974,0.442372933788424,2.260536130536131
Conventional / memory-like CD4 T,9,10,0.2096069868995633,0.07883288702179128,0.13077409987777203,0.1530418841588201,0.2550698069313669,2.6588774662232395,0.3760985651664626
gamma-delta / NK-like cytotoxic T,9,10,0.04294478527607362,0.07955152662810647,-0.036606741352032846,0.23644471557230373,0.2955558944653797,0.5398360923585436,1.852414120054479
TCF7+ memory-like CD8 T,9,10,0.06134969325153374,0.033175973383688516,0.028173719867845226,0.2364447155723038,0.2955558944653797,1.849220595338953,0.5407683661541228
GZMK+ activated/transitional CD8 T,9,10,0.147239263803681,0.15796666410925272,-0.010727400305571733,0.48766835345893056,0.5418537260654784,0.9320907334084585,1.0728569270753414
Plasma cell,9,10,0,0.005008175376975716,-0.005008175376975716,0.9655743647597812,0.9655743647597812,0,NA
