sub0,n_cells,gene,pct_positive
0_0,568,FOXP3,21.830985915492956
0_0,568,IL2RA,15.492957746478872
0_0,568,CTLA4,40.66901408450704
0_0,568,ICOS,40.66901408450704
0_0,568,CD40LG,16.901408450704224
0_0,568,IL7R,69.01408450704226
0_0,568,TCF7,47.359154929577464
0_0,568,LEF1,33.45070422535211
0_0,568,CD4,49.647887323943664
0_0,568,CD8A,15.845070422535212
0_0,568,CD8B,8.80281690140845
0_1,353,FOXP3,53.25779036827195
0_1,353,IL2RA,37.39376770538244
0_1,353,CTLA4,75.3541076487252
0_1,353,ICOS,70.53824362606233
0_1,353,CD40LG,16.71388101983003
0_1,353,IL7R,49.008498583569406
0_1,353,TCF7,22.6628895184136
0_1,353,LEF1,21.246458923512748
0_1,353,CD4,80.45325779036827
0_1,353,CD8A,5.099150141643059
0_1,353,CD8B,3.1161473087818696
0_2,347,FOXP3,17.29106628242075
0_2,347,IL2RA,20.172910662824208
0_2,347,CTLA4,36.59942363112392
0_2,347,ICOS,50.720461095100866
0_2,347,CD40LG,21.613832853025936
0_2,347,IL7R,70.31700288184439
0_2,347,TCF7,53.02593659942363
0_2,347,LEF1,22.19020172910663
0_2,347,CD4,60.80691642651297
0_2,347,CD8A,12.103746397694524
0_2,347,CD8B,8.357348703170029
