p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.177603941311921,0.293,0.016,0,0,FOXP3
0,2.9394745845638655,0.339,0.049,0,0,TNFRSF4
0,2.668875806700274,0.265,0.038,0,0,CCR4
0,2.32092759792712,0.288,0.059,0,0,FAAH2
0,2.058085765751499,0.43,0.109,0,0,TNFRSF18
0,1.955170664749429,0.613,0.176,0,0,CD4
0,1.742704482294929,0.436,0.145,0,0,ZC3H12D
0,1.6730232300789092,0.27,0.083,0,0,LEF1
0,1.6700205111314834,0.446,0.127,0,0,TNFRSF25
0,1.644651190302826,0.517,0.185,0,0,ICOS
0,2.1967124213158753,0.34,0.101,0,1,VCAM1
0,2.1823161332752274,0.48,0.14,0,1,CRTAM
0,1.7131072588525478,0.313,0.111,0,1,CD8BP
0,1.6725606030319218,0.385,0.132,0,1,CTD-2313F11.1
0,1.670565677996176,0.633,0.224,0,1,GZMK
0,1.6695652099251879,0.384,0.16,0,1,TNFSF9
0,1.640077943280303,0.353,0.129,0,1,CTB-36O1.7
0,1.5932577057442567,0.35,0.141,0,1,DTHD1
0,1.4339349066685247,0.355,0.162,0,1,TNFRSF9
0,1.4058634591067234,0.385,0.177,0,1,CXCR6
0,1.9238769134248046,0.661,0.239,0,2,TCF7
0,1.8937852355509113,0.298,0.093,0,2,LEF1
0,1.6688434530711491,0.461,0.187,0,2,LINC00861
0,1.4131767292037587,0.654,0.3,0,2,IL7R
0,1.3964584985588235,0.257,0.129,0,2,SERINC5
0,1.3587312717960083,0.414,0.229,0,2,CAMK4
0,1.3326693129713942,0.602,0.311,0,2,GIMAP5
0,1.2882825109865514,0.347,0.197,0,2,PCNXL2
0,1.2840747641885941,0.478,0.238,0,2,TC2N
0,1.2633930460951568,0.553,0.292,0,2,XIST
0,2.8322094964067195,0.27,0.054,0,3,KIAA0101
0,2.447472858464969,0.266,0.045,0,3,TYMS
0,2.293439800347901,0.346,0.061,0,3,AFAP1L2
0,2.109009496493859,0.576,0.109,0,3,CXCL13
0,2.0254799039044205,0.474,0.095,0,3,VCAM1
0,1.9522303622550643,0.293,0.06,0,3,KIR2DL4
0,1.9433623742677506,0.377,0.079,0,3,FASLG
0,1.8984924515963846,0.428,0.1,0,3,MYO7A
0,1.754924765747993,0.562,0.14,0,3,TNFRSF9
0,1.680147883754338,0.579,0.17,0,3,MIR155HG
0,6.328088514076836,0.282,0.006,0,4,KLRF1
0,5.619432981747254,0.434,0.014,0,4,FGFBP2
0,5.19012318911761,0.366,0.012,0,4,TRDC
0,4.426634252324219,0.379,0.021,0,4,S1PR5
0,3.7643035451598057,0.273,0.034,0,4,CX3CR1
0,3.3586973079173634,0.336,0.04,0,4,C1orf21
0,2.918656262117843,0.726,0.136,0,4,GNLY
0,2.623672597537941,0.418,0.099,0,4,FCGR3A
0,2.5083538574756985,0.255,0.065,0,4,KLRC1
0,2.4637471262896646,0.26,0.055,0,4,FCRL6
0,6.523860333024279,0.392,0.007,0,5,EBF1
0,6.468186479359342,0.538,0.01,0,5,IGHD
0,6.36223659705925,0.282,0.004,0,5,COL19A1
0,6.023121931126121,0.664,0.014,0,5,FCRL1
0,5.757435996413748,0.797,0.028,0,5,BANK1
0,5.7453592317520865,0.381,0.008,0,5,VPREB3
0,5.743494805254564,0.775,0.02,0,5,CD22
0,5.597561400858397,0.644,0.018,0,5,LINC00926
0,5.5702034990819165,0.937,0.036,0,5,MS4A1
0,5.362640428197965,0.462,0.015,0,5,FCER2
0,9.61273469876679,0.414,0.001,0,6,MARCO
0,9.137645852475336,0.54,0.003,0,6,OLR1
0,9.08719008909218,0.309,0.001,0,6,LGALS2
0,8.830779923281385,0.332,0.001,0,6,TMEM52B
0,8.788908089129409,0.577,0.005,0,6,CD300E
0,8.64673487198712,0.378,0.002,0,6,HNMT
0,8.60380297505077,0.325,0.002,0,6,ARHGEF10L
0,8.588123348386953,0.368,0.001,0,6,PID1
0,8.556753144289782,0.449,0.003,0,6,FPR3
0,8.50127050051104,0.499,0.003,0,6,MAFB
0,8.511858429815497,0.445,0.002,0,7,IGHV3-20
0,8.242582052117209,0.782,0.003,0,7,SDC1
0,7.724690372983153,0.264,0.002,0,7,IGKV1D-17
0,7.533732521150945,0.282,0.003,0,7,IGKV1D-16
0,7.515697600950005,0.336,0.002,0,7,CTB-43E15.3
0,7.4560568757525445,0.373,0.003,0,7,IGHV3OR16-8
0,7.433049530932006,0.255,0.002,0,7,SCNN1B
0,7.340779603204248,0.355,0.003,0,7,RP11-170L3.7
0,7.23973558900043,0.327,0.003,0,7,IGLV6-57
0,7.1839020658518065,0.364,0.002,0,7,IGHV3-72
0,9.206511740564096,0.988,0.004,0,8,IGKV2-28
0,8.424802330946102,1,0.008,0,8,IGKV2D-28
0,6.43199877899632,0.447,0.01,0,8,ABCA6
0,6.297311476708455,0.824,0.016,0,8,IGHV4-4
0,6.209477140725319,0.812,0.014,0,8,IGHV4-61
0,6.063337414410945,0.788,0.012,0,8,IGHV4-31
0,5.783207041022015,0.765,0.016,0,8,IGHV4-59
0,5.606932408185301,0.729,0.014,0,8,IGHV4-39
0,5.424610120295762,0.718,0.024,0,8,IGHV3-30
0,4.744853667075947,0.447,0.026,0,8,SDK2
0,13.63472636989977,0.542,0,0,9,RP11-71G12.1
0,12.017241895568283,0.265,0,0,9,CTC-782O7.1
0,10.689130276010282,0.325,0,0,9,SCT
0,10.385233968280149,0.361,0,0,9,LRRC26
0,10.033374211311791,0.277,0,0,9,SHD
0,9.504255188198028,0.337,0,0,9,RP11-73G16.2
0,9.232994201023594,0.819,0.002,0,9,CLEC4C
0,8.956813182503419,0.277,0.001,0,9,KCNK17
0,8.632355051014038,0.41,0.001,0,9,KRT5
0,8.598279009029364,0.325,0,0,9,SLC32A1
